ASHR,COMMODITIES,DBC,Date,EMB,EWJ,FXI,GLD,HYD,IEF,LQD,QQQ,SPY,TLT,VEA,VTI,VWO
,,0.159998289,3/28/17,,,,0.249997327,0.037221651,,,,,0.292785513,0.079999145,0.179998075,
,,0.185597009,3/28/17,,,,0.197269451,0.024425998,,,,,0.187658905,0.186176095,0.218872541,
,,0.211002738,4/30/17,,,,0.23798149,,,,,,0.206162996,0.14666743,0.198185345,
,,0.206537991,4/30/17,,,,0.232945881,0.02407357,,,,,0.198886752,0.143563996,0.193991809,
,,0.115791539,4/30/17,,,,0.276559958,0.028447616,,,,,0.273602134,0.167318774,0.138279979,
,,0.153982844,5/30/17,,,,0.25057483,,,,,,0.316509826,0.050423969,0.133151427,0.095357103
,,0.117882633,5/30/17,,,,0.24940458,,,,,,0.372567335,0.04003985,0.122622041,0.09748356
,,0.133492712168,06/29/17,,,,0.258586035854,,,,,,0.312136870474,0.0636805006925,0.139166563724,0.0929373170873
,,0.133492712168,06/29/17,,,,0.258586035854,,,,,,0.312136870474,0.0636805006925,0.139166563724,0.0929373170873
0.0352030070797,,0.0677845170451,06/29/17,0.233308640165,0.0203370253678,,0.136152282226,,0.0298347825775,0.229407517152,0.032521137801,0.0580045128117,0.157446577774,,,
0.0352030070797,,0.0677845170451,06/29/17,0.233308640165,0.0203370253678,,0.136152282226,,0.0298347825775,0.229407517152,0.032521137801,0.0580045128117,0.157446577774,,,
0.0352030070797,,0.0677845170451,06/29/17,0.233308640165,0.0203370253678,,0.136152282226,,0.0298347825775,0.229407517152,0.032521137801,0.0580045128117,0.157446577774,,,
,,0.0688184901759,06/29/17,0.23686748923,0.0149874648214,0.0330537321371,0.138229125252,,0.0302898771167,0.232906859172,0.0305356009853,0.0544631208602,0.159848240249,,,
,,0.0519578927035,06/30/17,0.375424919342,0.0145855957134,0.0330629589312,0.11585194365,,0.0291992023257,0.182791211029,0.0217866943659,0.0429390759192,0.13240050602,,,
,,0.075,06/30/17,0.075,0.0389384204688,0.0882664940196,0.075,,0.0542065377925,0.075,0.058162826018,0.114632259494,0.245793462208,,,
,,0.075,06/30/17,0.075,0.0389384204688,0.0882664940196,0.075,,0.0722753837233,0.075,0.058162826018,0.114632259494,0.327724616277,,,
,,0.075,06/30/17,0.075,0.0343530831584,0.0741048430515,0.075,,0.0624202692452,0.075,0.0699550119822,0.121587061808,0.337579730755,,,
,,0.075,06/30/17,0.075,0.0336318753713,0.0703397720874,0.075,,0.0621979461853,0.075,0.0805340904139,0.115494262127,0.337802053815,,,
,,0.075,06/30/17,0.075,0.0350534147428,0.0619258226556,0.075,,0.0640724876654,0.075,0.083617181495,0.119403581107,0.335927512335,,,
,,0.0894123839032,,0.0821148084993,0.0353782239167,0.0674585677117,0.0854251826092,,0.0599748962783,0.0565375787896,0.0939449374828,0.125429627186,0.304323793623,,,
,,0.0894123839032,,0.0821148084993,0.0353782239167,0.0674585677117,0.0854251826092,,0.0599748962783,0.0565375787896,0.0939449374828,0.125429627186,0.304323793623,,,
,,0.0989013327015,,0.088285358183,0.203940891399,0.0971959952552,0.08484904596,,0.0816849150166,0.0580425692365,0.0062225040539,0.00185642041921,0.279020967775,,,
,,0.0893427056912,,0.081984784847,0.0541869004619,0.0819744297746,0.0841955642514,,0.110316907057,0.05619760697,0.0924794763055,0.095504381603,0.253817243038,,,
,,0.0893427056912,,0.081984784847,0.0541869004619,0.0819744297746,0.0841955642514,,0.110316907057,0.05619760697,0.0924794763055,0.095504381603,0.253817243038,,,
,,0.0893427478801,,0.0819848663541,0.0541874681955,0.0819749170682,0.0841956382381,,0.110311821425,0.0561976236482,0.092478821595,0.0955039402634,0.253822155333,,,
,,0.0893427056912,,0.081984784847,0.0541869004619,0.0819744297746,0.0841955642514,,0.110316907057,0.05619760697,0.0924794763055,0.095504381603,0.253817243038,,,
,,0.0893427056912,,0.081984784847,0.0541869004619,0.0819744297746,0.0841955642514,,0.110316907057,0.05619760697,0.0924794763055,0.095504381603,0.253817243038,,,
,,0.114778974901,,0.194047681243,0.0307488202669,0.0457419463456,0.138229672183,,0.0784402565234,0.103267698696,0.0529573816192,0.0520267562471,0.189760811975,,,
,,0.0893877223145,,0.0819806304638,0.0541849103387,0.0819657591722,0.0841899137862,,0.110318720551,0.0561942324901,0.0924658530365,0.0955082789828,0.253803978864,,,
,,0.0984814733214,,0.103853270012,0.0937433212501,0.0993383020794,0.0987780687923,,0.0683537195972,0.0653430735275,0.1017277358,0.11610511282,0.154275922801,,,
,,0.0896503104508,,0.0818909812726,0.0545483987886,0.0826316406913,0.0840053125175,,0.110194796064,0.056172752117,0.0908303538796,0.0964079342004,0.253667520018,,,
,,0.0896503104508,,0.0818909812726,0.0545483987886,0.0826316406913,0.0840053125175,,0.110194796064,0.056172752117,0.0908303538796,0.0964079342004,0.253667520018,,,
,,0.0896448810914,,0.0818841005788,0.0545442624183,0.082630354659,0.0840054581484,,0.110190047624,0.0561786507331,0.0908660674992,0.0964042606415,0.253651916606,,,
,,,,,,,,,,,,,,,,
,0.124530045431,,,0.0913573193478,0.0622304248195,0.0902895588098,,,0.1154944575,0.0604135704654,0.0987307203104,0.105275938624,0.251677964693,,,
,0.196191252115,,,0.086530279911,0.0512420861561,0.0773672502971,,,0.107220847412,0.0569554333778,0.0878794798564,0.0935297971149,0.243083573759,,,
,0.196256304953,,,0.0864256125023,0.0498630963115,0.0722209238286,,,0.106925197694,0.0569597290788,0.0867928617155,0.100916889891,0.243639384026,,,
,0.1681025729,,,0.0848198366287,0.0549979064832,0.0792543925999,,,0.10864153279,0.0558621131094,0.0929564965426,0.108197871028,0.247167277918,,,
,0.1681025729,,,0.0848198366287,0.0549979064832,0.0792543925999,,,0.10864153279,0.0558621131094,0.0929564965426,0.108197871028,0.247167277918,,,
