,Index,Currency,Date,Price,Total Return
0,CEFMX,USD,2005-12-31,1000.00000000000000,1000.00000000000000
1,CEFMX,USD,2006-01-02,1000.00000000000000,1000.00000000000000
2,CEFMX,USD,2006-01-03,1002.73000000000000,1002.73000000000000
3,CEFMX,USD,2006-01-04,1007.94000000000000,1008.21000000000000
4,CEFMX,USD,2006-01-05,1012.31000000000000,1012.58000000000000
5,CEFMX,USD,2006-01-06,1015.56000000000000,1015.87000000000000
6,CEFMX,USD,2006-01-09,1019.07000000000000,1019.38000000000000
7,CEFMX,USD,2006-01-10,1017.41000000000000,1017.71000000000000
8,CEFMX,USD,2006-01-11,1014.45000000000000,1017.50000000000000
9,CEFMX,USD,2006-01-12,1014.62000000000000,1018.13000000000000
10,CEFMX,USD,2006-01-13,1014.60000000000000,1018.91000000000000
11,CEFMX,USD,2006-01-16,1014.60000000000000,1018.91000000000000
12,CEFMX,USD,2006-01-17,1012.95000000000000,1017.30000000000000
13,CEFMX,USD,2006-01-18,1015.07000000000000,1019.43000000000000
14,CEFMX,USD,2006-01-19,1017.27000000000000,1021.64000000000000
15,CEFMX,USD,2006-01-20,1019.19000000000000,1023.95000000000000
16,CEFMX,USD,2006-01-23,1020.03000000000000,1024.79000000000000
17,CEFMX,USD,2006-01-24,1021.97000000000000,1026.74000000000000
18,CEFMX,USD,2006-01-25,1019.50000000000000,1024.30000000000000
19,CEFMX,USD,2006-01-26,1019.19000000000000,1023.99000000000000
20,CEFMX,USD,2006-01-27,1020.13000000000000,1025.02000000000000
21,CEFMX,USD,2006-01-30,1019.30000000000000,1024.18000000000000
22,CEFMX,USD,2006-01-31,1021.61000000000000,1026.51000000000000
23,CEFMX,USD,2006-02-01,1019.19000000000000,1024.40000000000000
24,CEFMX,USD,2006-02-02,1016.08000000000000,1021.28000000000000
25,CEFMX,USD,2006-02-03,1012.09000000000000,1017.27000000000000
26,CEFMX,USD,2006-02-06,1010.35000000000000,1015.52000000000000
27,CEFMX,USD,2006-02-07,1011.46000000000000,1016.81000000000000
28,CEFMX,USD,2006-02-08,1013.78000000000000,1019.31000000000000
29,CEFMX,USD,2006-02-09,1014.18000000000000,1019.77000000000000
30,CEFMX,USD,2006-02-10,1013.53000000000000,1019.82000000000000
31,CEFMX,USD,2006-02-13,1011.31000000000000,1020.35000000000000
32,CEFMX,USD,2006-02-14,1009.38000000000000,1018.45000000000000
33,CEFMX,USD,2006-02-15,1011.80000000000000,1020.89000000000000
34,CEFMX,USD,2006-02-16,1012.34000000000000,1021.82000000000000
35,CEFMX,USD,2006-02-17,1015.63000000000000,1025.14000000000000
36,CEFMX,USD,2006-02-20,1015.63000000000000,1025.14000000000000
37,CEFMX,USD,2006-02-21,1016.52000000000000,1026.04000000000000
38,CEFMX,USD,2006-02-22,1018.59000000000000,1028.12000000000000
39,CEFMX,USD,2006-02-23,1018.64000000000000,1028.22000000000000
40,CEFMX,USD,2006-02-24,1020.47000000000000,1030.15000000000000
41,CEFMX,USD,2006-02-27,1020.89000000000000,1030.58000000000000
42,CEFMX,USD,2006-02-28,1024.25000000000000,1033.97000000000000
43,CEFMX,USD,2006-03-01,1023.39000000000000,1033.43000000000000
44,CEFMX,USD,2006-03-02,1022.20000000000000,1032.22000000000000
45,CEFMX,USD,2006-03-03,1017.57000000000000,1027.55000000000000
46,CEFMX,USD,2006-03-06,1012.79000000000000,1022.72000000000000
47,CEFMX,USD,2006-03-07,1008.46000000000000,1018.35000000000000
48,CEFMX,USD,2006-03-08,1010.93000000000000,1021.02000000000000
49,CEFMX,USD,2006-03-09,1013.52000000000000,1023.68000000000000
50,CEFMX,USD,2006-03-10,1013.13000000000000,1024.18000000000000
51,CEFMX,USD,2006-03-13,1010.55000000000000,1024.36000000000000
52,CEFMX,USD,2006-03-14,1009.84000000000000,1023.68000000000000
53,CEFMX,USD,2006-03-15,1009.21000000000000,1023.04000000000000
54,CEFMX,USD,2006-03-16,1014.83000000000000,1028.73000000000000
55,CEFMX,USD,2006-03-17,1014.71000000000000,1028.61000000000000
56,CEFMX,USD,2006-03-20,1015.02000000000000,1028.93000000000000
57,CEFMX,USD,2006-03-21,1014.66000000000000,1028.56000000000000
58,CEFMX,USD,2006-03-22,1015.52000000000000,1029.70000000000000
59,CEFMX,USD,2006-03-23,1018.09000000000000,1032.35000000000000
60,CEFMX,USD,2006-03-24,1018.08000000000000,1032.46000000000000
61,CEFMX,USD,2006-03-27,1017.34000000000000,1031.71000000000000
62,CEFMX,USD,2006-03-28,1017.52000000000000,1031.89000000000000
63,CEFMX,USD,2006-03-29,1019.04000000000000,1033.52000000000000
64,CEFMX,USD,2006-03-30,1014.65000000000000,1029.07000000000000
65,CEFMX,USD,2006-03-31,1016.99000000000000,1031.43000000000000
66,CEFMX,USD,2006-04-03,1019.69000000000000,1034.17000000000000
67,CEFMX,USD,2006-04-04,1020.47000000000000,1034.96000000000000
68,CEFMX,USD,2006-04-05,1017.74000000000000,1032.51000000000000
69,CEFMX,USD,2006-04-06,1015.68000000000000,1030.45000000000000
70,CEFMX,USD,2006-04-07,1010.07000000000000,1024.76000000000000
71,CEFMX,USD,2006-04-10,1007.34000000000000,1022.16000000000000
72,CEFMX,USD,2006-04-11,1003.51000000000000,1020.83000000000000
73,CEFMX,USD,2006-04-12,999.81000000000000,1018.09000000000000
74,CEFMX,USD,2006-04-13,997.45000000000000,1015.80000000000000
75,CEFMX,USD,2006-04-14,997.45000000000000,1015.80000000000000
76,CEFMX,USD,2006-04-17,993.12000000000000,1011.45000000000000
77,CEFMX,USD,2006-04-18,998.38000000000000,1016.81000000000000
78,CEFMX,USD,2006-04-19,997.76000000000000,1016.35000000000000
79,CEFMX,USD,2006-04-20,996.22000000000000,1014.94000000000000
80,CEFMX,USD,2006-04-21,997.29000000000000,1016.14000000000000
81,CEFMX,USD,2006-04-24,1001.07000000000000,1019.99000000000000
82,CEFMX,USD,2006-04-25,998.42000000000000,1017.34000000000000
83,CEFMX,USD,2006-04-26,999.26000000000000,1018.25000000000000
84,CEFMX,USD,2006-04-27,1000.91000000000000,1019.93000000000000
85,CEFMX,USD,2006-04-28,1003.72000000000000,1022.79000000000000
86,CEFMX,USD,2006-05-01,1004.42000000000000,1023.50000000000000
87,CEFMX,USD,2006-05-02,1003.35000000000000,1022.42000000000000
88,CEFMX,USD,2006-05-03,1000.34000000000000,1019.65000000000000
89,CEFMX,USD,2006-05-04,998.62000000000000,1017.90000000000000
90,CEFMX,USD,2006-05-05,999.78000000000000,1019.08000000000000
91,CEFMX,USD,2006-05-08,999.68000000000000,1019.01000000000000
92,CEFMX,USD,2006-05-09,1000.04000000000000,1019.61000000000000
93,CEFMX,USD,2006-05-10,1000.46000000000000,1020.21000000000000
94,CEFMX,USD,2006-05-11,992.87000000000000,1015.81000000000000
95,CEFMX,USD,2006-05-12,992.16000000000000,1015.19000000000000
96,CEFMX,USD,2006-05-15,993.74000000000000,1016.81000000000000
97,CEFMX,USD,2006-05-16,996.91000000000000,1020.10000000000000
98,CEFMX,USD,2006-05-17,991.73000000000000,1014.81000000000000
99,CEFMX,USD,2006-05-18,993.08000000000000,1016.19000000000000
100,CEFMX,USD,2006-05-19,995.54000000000000,1018.82000000000000
101,CEFMX,USD,2006-05-22,993.26000000000000,1016.80000000000000
102,CEFMX,USD,2006-05-23,993.44000000000000,1017.03000000000000
103,CEFMX,USD,2006-05-24,992.75000000000000,1016.32000000000000
104,CEFMX,USD,2006-05-25,991.65000000000000,1015.19000000000000
105,CEFMX,USD,2006-05-26,995.31000000000000,1019.00000000000000
106,CEFMX,USD,2006-05-29,995.31000000000000,1019.00000000000000
107,CEFMX,USD,2006-05-30,993.83000000000000,1017.48000000000000
108,CEFMX,USD,2006-05-31,995.40000000000000,1019.09000000000000
109,CEFMX,USD,2006-06-01,1001.38000000000000,1025.21000000000000
110,CEFMX,USD,2006-06-02,1005.00000000000000,1028.91000000000000
111,CEFMX,USD,2006-06-05,998.89000000000000,1022.66000000000000
112,CEFMX,USD,2006-06-06,997.84000000000000,1021.59000000000000
113,CEFMX,USD,2006-06-07,995.10000000000000,1019.09000000000000
114,CEFMX,USD,2006-06-08,993.12000000000000,1017.33000000000000
115,CEFMX,USD,2006-06-09,993.44000000000000,1018.54000000000000
116,CEFMX,USD,2006-06-12,990.85000000000000,1015.89000000000000
117,CEFMX,USD,2006-06-13,983.62000000000000,1011.09000000000000
118,CEFMX,USD,2006-06-14,980.86000000000000,1008.30000000000000
119,CEFMX,USD,2006-06-15,981.70000000000000,1009.17000000000000
120,CEFMX,USD,2006-06-16,982.54000000000000,1010.03000000000000
121,CEFMX,USD,2006-06-19,982.57000000000000,1010.07000000000000
122,CEFMX,USD,2006-06-20,979.25000000000000,1006.65000000000000
123,CEFMX,USD,2006-06-21,977.36000000000000,1005.02000000000000
124,CEFMX,USD,2006-06-22,972.86000000000000,1000.43000000000000
125,CEFMX,USD,2006-06-23,972.16000000000000,999.83000000000000
126,CEFMX,USD,2006-06-26,971.35000000000000,998.99000000000000
127,CEFMX,USD,2006-06-27,970.73000000000000,998.36000000000000
128,CEFMX,USD,2006-06-28,969.45000000000000,997.10000000000000
129,CEFMX,USD,2006-06-29,972.08000000000000,999.80000000000000
130,CEFMX,USD,2006-06-30,976.16000000000000,1004.00000000000000
131,CEFMX,USD,2006-07-03,973.96000000000000,1001.73000000000000
132,CEFMX,USD,2006-07-04,973.96000000000000,1001.73000000000000
133,CEFMX,USD,2006-07-05,973.01000000000000,1001.03000000000000
134,CEFMX,USD,2006-07-06,973.53000000000000,1001.60000000000000
135,CEFMX,USD,2006-07-07,975.63000000000000,1003.76000000000000
136,CEFMX,USD,2006-07-10,975.35000000000000,1003.47000000000000
137,CEFMX,USD,2006-07-11,975.92000000000000,1004.25000000000000
138,CEFMX,USD,2006-07-12,974.74000000000000,1005.72000000000000
139,CEFMX,USD,2006-07-13,972.78000000000000,1004.61000000000000
140,CEFMX,USD,2006-07-14,972.73000000000000,1004.56000000000000
141,CEFMX,USD,2006-07-17,972.96000000000000,1004.80000000000000
142,CEFMX,USD,2006-07-18,970.58000000000000,1002.34000000000000
143,CEFMX,USD,2006-07-19,973.48000000000000,1005.45000000000000
144,CEFMX,USD,2006-07-20,973.08000000000000,1005.35000000000000
145,CEFMX,USD,2006-07-21,975.36000000000000,1007.70000000000000
146,CEFMX,USD,2006-07-24,980.26000000000000,1012.76000000000000
147,CEFMX,USD,2006-07-25,981.23000000000000,1013.80000000000000
148,CEFMX,USD,2006-07-26,983.84000000000000,1016.50000000000000
149,CEFMX,USD,2006-07-27,988.73000000000000,1021.61000000000000
150,CEFMX,USD,2006-07-28,991.88000000000000,1024.87000000000000
151,CEFMX,USD,2006-07-31,996.43000000000000,1029.57000000000000
152,CEFMX,USD,2006-08-01,999.46000000000000,1032.69000000000000
153,CEFMX,USD,2006-08-02,1001.31000000000000,1034.89000000000000
154,CEFMX,USD,2006-08-03,1001.32000000000000,1034.89000000000000
155,CEFMX,USD,2006-08-04,1004.74000000000000,1038.43000000000000
156,CEFMX,USD,2006-08-07,1002.39000000000000,1036.00000000000000
157,CEFMX,USD,2006-08-08,1003.37000000000000,1037.04000000000000
158,CEFMX,USD,2006-08-09,1002.53000000000000,1036.38000000000000
159,CEFMX,USD,2006-08-10,1004.84000000000000,1039.53000000000000
160,CEFMX,USD,2006-08-11,1000.80000000000000,1038.14000000000000
161,CEFMX,USD,2006-08-14,1001.35000000000000,1038.71000000000000
162,CEFMX,USD,2006-08-15,1006.08000000000000,1043.67000000000000
163,CEFMX,USD,2006-08-16,1008.68000000000000,1046.49000000000000
164,CEFMX,USD,2006-08-17,1009.62000000000000,1047.46000000000000
165,CEFMX,USD,2006-08-18,1012.36000000000000,1050.30000000000000
166,CEFMX,USD,2006-08-21,1012.70000000000000,1050.81000000000000
167,CEFMX,USD,2006-08-22,1014.91000000000000,1053.26000000000000
168,CEFMX,USD,2006-08-23,1012.73000000000000,1051.03000000000000
169,CEFMX,USD,2006-08-24,1015.57000000000000,1053.99000000000000
170,CEFMX,USD,2006-08-25,1015.63000000000000,1054.04000000000000
171,CEFMX,USD,2006-08-28,1018.05000000000000,1056.56000000000000
172,CEFMX,USD,2006-08-29,1019.18000000000000,1057.78000000000000
173,CEFMX,USD,2006-08-30,1020.90000000000000,1059.57000000000000
174,CEFMX,USD,2006-08-31,1020.42000000000000,1059.06000000000000
175,CEFMX,USD,2006-09-01,1022.99000000000000,1061.73000000000000
176,CEFMX,USD,2006-09-04,1022.99000000000000,1061.73000000000000
177,CEFMX,USD,2006-09-05,1020.78000000000000,1059.44000000000000
178,CEFMX,USD,2006-09-06,1013.62000000000000,1052.28000000000000
179,CEFMX,USD,2006-09-07,1015.06000000000000,1053.97000000000000
180,CEFMX,USD,2006-09-08,1017.67000000000000,1056.67000000000000
181,CEFMX,USD,2006-09-11,1018.31000000000000,1057.33000000000000
182,CEFMX,USD,2006-09-12,1019.34000000000000,1058.45000000000000
183,CEFMX,USD,2006-09-13,1016.98000000000000,1059.53000000000000
184,CEFMX,USD,2006-09-14,1015.20000000000000,1057.68000000000000
185,CEFMX,USD,2006-09-15,1016.76000000000000,1059.30000000000000
186,CEFMX,USD,2006-09-18,1015.79000000000000,1058.28000000000000
187,CEFMX,USD,2006-09-19,1017.32000000000000,1059.94000000000000
188,CEFMX,USD,2006-09-20,1016.71000000000000,1059.73000000000000
189,CEFMX,USD,2006-09-21,1018.20000000000000,1061.32000000000000
190,CEFMX,USD,2006-09-22,1020.88000000000000,1064.12000000000000
191,CEFMX,USD,2006-09-25,1020.57000000000000,1063.79000000000000
192,CEFMX,USD,2006-09-26,1022.93000000000000,1066.26000000000000
193,CEFMX,USD,2006-09-27,1026.83000000000000,1070.37000000000000
194,CEFMX,USD,2006-09-28,1025.06000000000000,1068.52000000000000
195,CEFMX,USD,2006-09-29,1025.04000000000000,1068.50000000000000
196,CEFMX,USD,2006-10-02,1035.59000000000000,1079.50000000000000
197,CEFMX,USD,2006-10-03,1037.05000000000000,1081.02000000000000
198,CEFMX,USD,2006-10-04,1036.95000000000000,1081.16000000000000
199,CEFMX,USD,2006-10-05,1036.03000000000000,1080.23000000000000
200,CEFMX,USD,2006-10-06,1034.75000000000000,1078.90000000000000
201,CEFMX,USD,2006-10-09,1034.58000000000000,1078.72000000000000
202,CEFMX,USD,2006-10-10,1034.29000000000000,1078.62000000000000
203,CEFMX,USD,2006-10-11,1030.15000000000000,1076.57000000000000
204,CEFMX,USD,2006-10-12,1028.47000000000000,1076.08000000000000
205,CEFMX,USD,2006-10-13,1020.14000000000000,1067.47000000000000
206,CEFMX,USD,2006-10-16,1021.58000000000000,1068.97000000000000
207,CEFMX,USD,2006-10-17,1021.99000000000000,1069.40000000000000
208,CEFMX,USD,2006-10-18,1023.54000000000000,1071.14000000000000
209,CEFMX,USD,2006-10-19,1026.67000000000000,1074.41000000000000
210,CEFMX,USD,2006-10-20,1027.70000000000000,1075.79000000000000
211,CEFMX,USD,2006-10-23,1027.65000000000000,1075.75000000000000
212,CEFMX,USD,2006-10-24,1029.80000000000000,1078.03000000000000
213,CEFMX,USD,2006-10-25,1032.31000000000000,1080.66000000000000
214,CEFMX,USD,2006-10-26,1032.55000000000000,1080.91000000000000
215,CEFMX,USD,2006-10-27,1035.16000000000000,1083.72000000000000
216,CEFMX,USD,2006-10-30,1036.89000000000000,1085.53000000000000
217,CEFMX,USD,2006-10-31,1038.52000000000000,1087.24000000000000
218,CEFMX,USD,2006-11-01,1040.75000000000000,1089.82000000000000
219,CEFMX,USD,2006-11-02,1041.97000000000000,1091.09000000000000
220,CEFMX,USD,2006-11-03,1039.43000000000000,1088.43000000000000
