,date,discount_ratio,discount_value,discount_volume,full_discount_value,full_preminum_value,full_value,preminum_ratio,preminum_value,preminum_volume,ratio,row_volume,value
35,2006-09-08,-809.612651124,-0.358128181478,0.0,0.0,0.0,0.0,72.4909156473,-0.53095517718,0.0,-356.46699404,0.0,-0.374853292617
36,2006-09-15,-788.541374102,-0.105913036473,0.0,0.0,0.0,0.0,128.203506923,0.67589113464,0.0,-317.489222926,0.0,0.295727826222
37,2006-09-22,-749.416704193,-0.219222662052,0.0,0.0,0.0,0.0,135.073800227,0.00829673031201,0.0,-287.056982313,0.0,0.0419859862628
38,2006-09-29,-785.574900254,0.528531690013,0.0,0.0,0.0,0.0,133.435146327,0.4590895189,0.0,-291.867104122,0.0,0.403511781106
39,2006-10-06,-728.051386815,-0.0957483041254,0.0,0.0,0.0,0.0,69.8071212255,-0.330940663686,0.0,-319.991954847,0.0,-0.199475684148
40,2006-10-13,-754.518925485,0.247139122058,0.0,0.0,0.0,0.0,102.522712474,-0.122911346637,0.0,-330.45367123,0.0,-0.0514221383662
41,2006-10-20,-714.117492994,0.355915776236,0.0,0.0,0.0,0.0,91.0202265124,0.782870057407,0.0,-313.682040452,0.0,0.532081489571
42,2006-10-27,-714.630689841,0.379642982187,0.0,0.0,0.0,0.0,121.53379896,0.764043503701,0.0,-305.111437945,0.0,0.612914575568
43,2006-11-03,-778.761899821,-0.731386987832,0.0,0.0,0.0,0.0,-6.74497568138,-1.21854747801,0.0,-390.966549761,0.0,-0.839629000589
44,2006-11-10,-789.45854846,0.432746203794,0.0,0.0,0.0,0.0,36.1181588634,0.81811463372,0.0,-373.951301681,0.0,0.604962913372
45,2006-11-17,-875.274380593,-0.213570785136,0.0,0.0,0.0,0.0,36.1484316081,0.346989463615,0.0,-377.252831517,0.0,0.0390754013871
46,2006-11-24,-784.393166248,0.749898875528,0.0,0.0,0.0,0.0,100.596409631,1.00608998827,0.0,-326.46780053,0.0,0.796099646393
47,2006-12-01,-689.680527249,1.0315787756,0.0,0.0,0.0,0.0,129.200879975,0.662234365079,0.0,-295.869693656,0.0,0.827069382134
48,2006-12-08,-694.733896434,0.179269043566,0.0,0.0,0.0,0.0,240.045151223,0.477187998936,0.0,-274.116981559,0.0,0.323376272452
49,2006-12-15,-688.361803416,-0.0151079773192,0.0,0.0,0.0,0.0,216.931508565,0.114445898287,0.0,-262.244094983,0.0,-0.0130121751106
50,2006-12-22,-561.768016544,0.146666243125,0.0,0.0,0.0,0.0,270.792641448,0.377859395509,0.0,-170.476306321,0.0,0.258637655627
51,2006-12-29,-546.200968461,-0.344732778205,0.0,0.0,0.0,0.0,258.104550363,-0.00106877248219,0.0,-168.415001088,0.0,-0.229459436604
52,2007-01-05,-592.894043787,-1.01248786924,0.0,0.0,0.0,0.0,230.736349358,-0.698951269102,0.0,-219.951857211,0.0,-0.584615796803
53,2007-01-12,-518.718296553,0.309585350584,0.0,0.0,0.0,0.0,204.749145631,0.330608979202,0.0,-209.087719748,0.0,0.15376104145
54,2007-01-19,-549.696263518,0.543620932616,0.0,0.0,0.0,0.0,216.336375106,0.326613091444,0.0,-195.549096683,0.0,0.43471277592
55,2007-01-26,-539.03023047,-0.11071355578,0.0,0.0,0.0,0.0,192.240189796,0.0131751524503,0.0,-172.985365104,0.0,0.0627991674044
56,2007-02-02,-517.592171618,0.914943933151,0.0,0.0,0.0,0.0,237.116261286,0.782477458027,0.0,-152.140433541,0.0,0.829851720998
57,2007-02-09,-572.198529611,-0.605766719752,0.0,0.0,0.0,0.0,222.913891461,-0.252003267295,0.0,-194.662552336,0.0,-0.388508693612
58,2007-02-16,-609.471671115,0.187068638826,0.0,0.0,0.0,0.0,117.948774503,-0.12782043764,0.0,-235.572783959,0.0,-0.0170911104468
59,2007-02-23,-627.621899059,0.406389877313,0.0,0.0,0.0,0.0,116.842755553,0.189302704283,0.0,-227.8170574,0.0,0.316270446415
60,2007-03-02,-579.58992943,-1.26905058815,0.0,0.0,0.0,0.0,208.524894464,-0.921370742525,0.0,-210.532771667,0.0,-0.983039802286
61,2007-03-09,-617.811863957,0.553417639029,0.0,0.0,0.0,0.0,212.74114792,0.589903712036,0.0,-204.633103289,0.0,0.416518185628
62,2007-03-16,-625.70842188,-0.49840832639,0.0,0.0,0.0,0.0,220.844261593,-0.313083138289,0.0,-212.816609262,0.0,-0.376036131405
63,2007-03-23,-594.486625487,0.680826055187,0.0,0.0,0.0,0.0,245.890327864,1.06807674017,0.0,-199.105151452,0.0,0.939932977517
64,2007-03-30,-506.449002301,0.18427261621,0.0,0.0,0.0,0.0,298.088016742,0.344972900085,0.0,-152.783305321,0.0,0.279056182605
65,2007-04-06,-189.959134359,0.558014952873,0.0,0.0,0.0,0.0,-189.959134359,0.558014952873,0.0,-189.379319926,0.0,0.548044163227
66,2007-04-13,-454.956904223,0.806000400619,0.0,0.0,0.0,0.0,315.207810562,0.762783517576,0.0,-106.48231527,0.0,0.698732740738
67,2007-04-20,-561.901905341,-0.170081063552,0.0,0.0,0.0,0.0,223.10312288,-0.201947680857,0.0,-187.353854081,0.0,-0.175912975612
68,2007-04-27,-533.795882773,0.687999355987,0.0,0.0,0.0,0.0,232.045513542,0.41799009306,0.0,-163.08387825,0.0,0.484936702285
69,2007-05-04,-514.345427271,0.210175929882,0.0,0.0,0.0,0.0,206.87376754,0.0611953225533,0.0,-171.414287642,0.0,0.180305370073
70,2007-05-11,-550.6805257,0.00579842800217,0.0,0.0,0.0,0.0,247.870554642,0.0519233412971,0.0,-152.616456675,0.0,0.0393740889667
71,2007-05-18,-615.01527621,-0.484968418276,0.0,0.0,0.0,0.0,211.949358406,-0.217969161215,0.0,-194.968654537,0.0,-0.400407269991
72,2007-05-25,-648.235294118,-0.748145039468,0.0,0.0,0.0,0.0,243.319164779,-0.524835932956,0.0,-219.609868607,0.0,-0.578367765674
73,2007-06-01,-598.09840748,0.8721406221,0.0,0.0,0.0,0.0,319.831299701,0.85532063489,0.0,-168.426470047,0.0,0.731916587596
74,2007-06-08,-735.453143639,-2.2126433139,0.0,0.0,0.0,0.0,92.1325492784,-3.17727792758,0.0,-315.421722222,0.0,-2.69079343713
75,2007-06-15,-688.843121226,0.237682852698,0.0,0.0,0.0,0.0,74.043362604,0.390645030409,0.0,-303.740108697,0.0,0.282320475245
76,2007-06-22,-605.656211458,-1.0985071419,0.0,0.0,0.0,0.0,180.695246485,-0.213297164651,0.0,-296.835737668,0.0,-0.762339860058
77,2007-06-29,-616.953146114,0.0588141538798,0.0,0.0,0.0,0.0,67.0694365225,-0.167039530537,0.0,-299.90739473,0.0,0.0506753927911
78,2007-07-06,-617.099305685,0.760370896939,0.0,0.0,0.0,0.0,88.4904800947,0.773425346816,0.0,-273.441580264,0.0,0.7159548801
79,2007-07-13,-682.649592079,-0.682874669315,0.0,0.0,0.0,0.0,-110.963866969,-1.52270346046,0.0,-416.929463163,0.0,-1.28249912802
80,2007-07-20,-845.070132579,-1.95262706881,0.0,0.0,0.0,0.0,-281.295351719,-1.72816499442,0.0,-562.647091771,0.0,-1.95588522545
81,2007-07-27,-981.29558864,-4.25109190241,0.0,0.0,0.0,0.0,-310.194184921,-3.30991722837,0.0,-604.969816159,0.0,-3.64076412871
82,2007-08-03,-915.813221406,-0.0382156206531,0.0,0.0,0.0,0.0,-174.082264614,0.380232363104,0.0,-575.92723516,0.0,-0.0964091271603
83,2007-08-10,-1060.29287591,-1.06729249713,0.0,0.0,0.0,0.0,-415.813327155,-1.73371580504,0.0,-731.358584036,0.0,-1.58819874488
84,2007-08-17,-1124.00790355,-1.9672339959,0.0,0.0,0.0,0.0,-514.723988877,-2.18916579284,0.0,-824.889906772,0.0,-2.26601621404
85,2007-08-24,-956.961121697,3.25643989457,0.0,0.0,0.0,0.0,-297.457464518,4.08439421805,0.0,-624.500815275,0.0,3.75982528713
86,2007-08-31,-858.516016561,0.257528218973,0.0,0.0,0.0,0.0,-273.28066338,0.172422194867,0.0,-609.866568751,0.0,0.267737973384
87,2007-09-07,-883.126036703,0.0710751292348,0.0,0.0,0.0,0.0,-159.36407336,1.07243813808,0.0,-537.178651,0.0,0.693571325987
88,2007-09-14,-941.874703634,0.0060432164485,0.0,0.0,0.0,0.0,-352.547200862,-1.3742143963,0.0,-642.516647789,0.0,-0.836415961024
89,2007-09-21,-941.945220925,0.209217315556,0.0,0.0,0.0,0.0,-380.274705556,1.14833262165,0.0,-682.730610772,0.0,0.682602804752
90,2007-09-28,-1018.63331668,0.228816369068,0.0,0.0,0.0,0.0,-486.718387679,0.181206143112,0.0,-749.450537385,0.0,0.13601146067
91,2007-10-05,-988.155112854,0.85684028787,0.0,0.0,0.0,0.0,-425.826672276,1.45980834702,0.0,-731.573727294,0.0,1.01506794532
92,2007-10-12,-1092.65589517,-0.815627902382,0.0,0.0,0.0,0.0,-512.642965901,-1.15782968761,0.0,-836.590135536,0.0,-0.887113361686
93,2007-10-19,-1206.9496242,-2.46716223637,0.0,0.0,0.0,0.0,-694.24644465,-2.49200087245,0.0,-957.393590416,0.0,-2.27607697053
94,2007-10-26,-1234.53485467,1.00644083425,0.0,0.0,0.0,0.0,-741.99836019,0.30560807213,0.0,-992.090617413,0.0,0.510640323729
95,2007-11-02,-1256.80163331,-0.708625159371,0.0,0.0,0.0,0.0,-617.149295971,-1.21557874569,0.0,-959.380756609,0.0,-0.664625241786
96,2007-11-09,-1342.24761476,-3.39277107208,0.0,0.0,0.0,0.0,-796.758625631,-4.33371816002,0.0,-1114.15403008,0.0,-3.5778216613
97,2007-11-16,-1439.57995135,-2.20047644253,0.0,0.0,0.0,0.0,-987.573712592,-1.04531899275,0.0,-1227.44470605,0.0,-1.63764591709
98,2007-11-23,-1433.47985024,-0.889683460205,0.0,0.0,0.0,0.0,-910.150938946,-0.729961228661,0.0,-1165.82437691,0.0,-0.659152544412
