,Ticker,Company,Country,Sector,Date,Weight
0,BME US,Blackrock Health Sciences Trust,United States,,2017-06-30,0.973778
1,ETB US,Eaton Vance Tax-Managed Buy-Write Income Fund,United States,,2017-06-30,1.20926
2,BOE US,Blackrock Global Opportunities Equity Trust,United States,,2017-06-30,5.11303
3,ETV US,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,United States,,2017-06-30,2.79654
4,BDJ US,Blackrock Enhanced Equity Dividend Trust,United States,,2017-06-30,8.09011
5,GPM US,Guggenheim Enhanced Equity Income Fund,United States,,2017-06-30,1.97024
6,ETW US,Eaton Vance Tax Managed Global Buy Write Opportunities Fund,United States,,2017-06-30,4.07512
7,IGA US,Voya Global Advantage And Premium Opportunity Fund,United States,,2017-06-30,1.12414
8,SPXX US,Nuveen S&P 500 Dynamic Overwrite Fund,United States,,2017-06-30,0.973294
9,IRR US,Voya Natural Resources Equity Income Fund,United States,,2017-06-30,0.544035
10,ETY US,Eaton Vance Tax-Managed Diversified Equity Income Fund,United States,,2017-06-30,6.63878
11,QQQX US,Nuveen Nasdaq 100 Dynamic Overwrite Fund,United States,,2017-06-30,2.35152
12,EXG US,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,United States,,2017-06-30,7.98561
13,IAE US,Voya Asia Pacific High Dividend Equity Income Fund,United States,,2017-06-30,0.773208
14,BGY US,Blackrock International Growth And Income Trust,United States,,2017-06-30,3.78488
15,ETJ US,Eaton Vance Risk-Managed Diversified Equity Income Fund,United States,,2017-06-30,3.2787
16,IDE US,Voya Infrastructure Industrials And Materials Fund,United States,,2017-06-30,1.48439
17,EXD US,Eaton Vance Tax-Advantaged Bond And Options Strategies Fund,United States,,2017-06-30,0.671312
18,STK US,Columbia Seligman Premium Technology Growth Fund Inc,United States,,2017-06-30,0.961317
19,INB US,Cohen & Steers Global Income Builder Inc,United States,,2017-06-30,1.24834
20,HEQ US,John Hancock Hedged Equity & Income Fund,United States,,2017-06-30,0.923181
21,GNT US,Gamco Natural Resources Gold & Income Trust,United States,,2017-06-30,0.572752
22,BCX US,Blackrock Resources & Commodities Strategy Trust,United States,,2017-06-30,5.03029
23,BST US,Blackrock Science & Technology Trust,United States,,2017-06-30,2.73103
24,DIAX US,Nuveen Dow 30Sm Dynamic Overwrite Fund,United States,,2017-06-30,2.97766
25,FDEU US,First Trust Dynamic Europe Equ,United States,,2017-06-30,1.55137
26,CII US,Blackrock Enhanced Capital And Income Fund Inc,United States,,2017-06-30,3.61514
27,MCN US,Madison Covered Call & Equity Strategy Fund,United States,,2017-06-30,0.746045
28,FFA US,First Trust Enhanced Equity Income Fund,United States,,2017-06-30,1.6391
29,EOI US,Eaton Vance Enhanced Equity Income Fund,United States,,2017-06-30,2.66436
30,BXMX US,Nuveen S&P 500 Buy-Write Income Fund,United States,,2017-06-30,4.9005
31,BGR US,Blackrock Energy And Resources Trust,United States,,2017-06-30,2.19059
32,EOS US,Eaton Vance Enhanced Equity Income Fund Ii,United States,,2017-06-30,3.34433
33,NFJ US,Allianzgi Nfj Dividend Interest & Premium Strategy Fund,United States,,2017-06-30,7.01289
34,IGD US,Voya Global Equity Dividend And Premium Opportunity Fund,United States,,2017-06-30,4.05315
0,BDJ US,Blackrock Enhanced Equity Dividend Trust,United States,,2017-03-31,8.05669
1,SPXX US,Nuveen S&P 500 Dynamic Overwrite Fund,United States,,2017-03-31,0.911239
2,ETW US,Eaton Vance Tax Managed Global Buy Write Opportunities Fund,United States,,2017-03-31,4.40338
3,EXG US,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,United States,,2017-03-31,7.94391
4,BME US,Blackrock Health Sciences Trust,United States,,2017-03-31,0.858543
5,CII US,Blackrock Enhanced Capital And Income Fund Inc,United States,,2017-03-31,3.44469
6,EOS US,Eaton Vance Enhanced Equity Income Fund Ii,United States,,2017-03-31,3.15711
7,BST US,Blackrock Science & Technology Trust,United States,,2017-03-31,2.62486
8,STK US,Columbia Seligman Premium Technology Growth Fund Inc,United States,,2017-03-31,0.870546
9,IGA US,Voya Global Advantage And Premium Opportunity Fund,United States,,2017-03-31,1.16154
10,ETB US,Eaton Vance Tax-Managed Buy-Write Income Fund,United States,,2017-03-31,1.1156
11,INB US,Cohen & Steers Global Income Builder Inc,United States,,2017-03-31,1.17096
12,IRR US,Voya Natural Resources Equity Income Fund,United States,,2017-03-31,0.80537
13,BCX US,Blackrock Resources & Commodities Strategy Trust,United States,,2017-03-31,5.37045
14,GPM US,Guggenheim Enhanced Equity Income Fund,United States,,2017-03-31,0.604466
