,Ticker,Company,Country,Sector,Date,Weight
0,JQC US,Nuveen Credit Strategies Incom,United States,,2017-06-30,4.15979
1,MCR US,Mfs Charter Income Trust,United States,,2017-06-30,1.82117
2,MGF US,Mfs Govt Markets Inc Trust,United States,,2017-06-30,0.573452
3,MIN US,Mfs Intermediate Income Trust,United States,,2017-06-30,1.77742
4,MMT US,Mfs Multimarket Income Trust,United States,,2017-06-30,1.87077
5,NBB US,Nuveen Build America Bond Fund,United States,,2017-06-30,1.567
6,PDT US,John Hancock Premium Dividend,United States,,2017-06-30,1.96081
7,PIM US,Putnam Master Intermediate Inc,United States,,2017-06-30,0.909088
8,PKO US,Pimco Income Opportunity Fund,United States,,2017-06-30,0.804952
9,PPT US,Putnam Premier Income Trust,United States,,2017-06-30,2.14026
10,WIA US,Wa/Clay Us Infl-Lkd Sec&Inc,United States,,2017-06-30,1.44691
11,WIW US,Wa/Clay Us Infl-Lkd Opp&Inc,United States,,2017-06-30,2.97371
12,PSF US,Cohen & Steers Select Prefer,United States,,2017-06-30,0.804522
13,NBD US,Nuveen Bld Amer Bond Opp Fd,United States,,2017-06-30,0.438058
14,KMM US,Deutsche Multi-Market Income T,United States,,2017-06-30,0.679939
15,PFD US,Flaherty & Crumrine Preferred Income Fund,United States,,2017-06-30,0.334566
16,PCN US,Pimco Corporate & Income Strat,United States,,2017-06-30,1.25499
17,WEA US,Western Asset Premier Bond,United States,,2017-06-30,0.58029
18,TSI US,Tcw Strategic Income Fund In,United States,,2017-06-30,0.948453
19,VGI US,Virtus Global Multi-Sector,United States,,2017-06-30,0.514006
20,DBL US,Doubleline Opportunistic Cre,United States,,2017-06-30,0.702713
21,INSI US,Insight Select Income Fund,United States,,2017-06-30,0.751805
22,LDP US,Cohen & Steers Limited Durat,United States,,2017-06-30,2.12038
23,JPI US,Nuveen Pfd And Inc Term Fd,United States,,2017-06-30,1.57114
24,BIT US,Blackrock Multi-Sector Incom,United States,,2017-06-30,2.7397
25,DFP US,Flaherty & Crumrine Dynamic,United States,,2017-06-30,1.37726
26,FPF US,First Trust Intermediate Dur,United States,,2017-06-30,4.1223
27,GGM US,Guggenheim Credit Allocation,United States,,2017-06-30,0.336625
28,JGH US,Nuveen Global H-I Fd,United States,,2017-06-30,1.57168
29,FTF US,Franklin Limited Duration Inco,United States,,2017-06-30,1.03966
30,GBAB US,Guggenheim Build America Bonds,United States,,2017-06-30,1.09024
31,GDO US,Western Asset Gl Corp Def Op,United States,,2017-06-30,0.942396
32,GIM US,Templeton Global Income Fund,United States,,2017-06-30,3.95737
33,HPF US,John Hancock Preferred Income,United States,,2017-06-30,1.10528
34,HPI US,John Hancock Preferred Income,United States,,2017-06-30,1.35477
35,HPS US,John Hancock Preferred Income,United States,,2017-06-30,1.64527
36,IGI US,Western Asset Inv Gra Def Op,United States,,2017-06-30,0.564914
37,JPC US,Nuveen Preferred Income Opport,United States,,2017-06-30,3.704
38,JPS US,Nuveen Quality Preferred Incom,United States,,2017-06-30,5.6958
39,VBF US,Invesco Bond Fund,United States,,2017-06-30,0.76706
40,BBN US,Blackrock Build America Bond T,United States,,2017-06-30,3.17823
41,BHK US,Blackrock Core Bond Trust,United States,,2017-06-30,2.67445
42,BKT US,Blackrock Income Trust Inc,United States,,2017-06-30,1.56337
43,BLW US,Blackrock Limited Duration Inc,United States,,2017-06-30,2.28322
44,BTZ US,Blackrock Credit Allocation In,United States,Financials,2017-06-30,5.75664
45,DUC US,Duff & Phelps Util & Corp Bd,United States,,2017-06-30,0.888516
46,EHI US,Western Asset Global High Inco,United States,,2017-06-30,1.82137
47,ERC US,Wells Fargo Advantage Multi-Se,United States,,2017-06-30,1.66151
48,EVG US,Eaton Vance Short Duration Div,United States,,2017-06-30,0.981811
49,EVV US,Eaton Vance Limited Duration I,United States,,2017-06-30,6.38861
50,FAM US,First Trust Aberdeen Global,United States,,2017-06-30,0.704761
51,FAX US,Aberdeen Asia-Pacific Income F,United States,,2017-06-30,4.9704
52,FFC US,Flaherty & Crumrine Preferred,United States,,2017-06-30,1.88724
53,FLC US,Flah & Crum Total Return Fd,United States,,2017-06-30,0.519373
0,LDP US,Cohen & Steers Limited Durat,United States,,2017-03-31,2.06784
1,PCN US,Pimco Corporate & Income Strat,United States,,2017-03-31,1.23517
2,BKT US,Blackrock Income Trust Inc,United States,,2017-03-31,1.46135
3,BHK US,Blackrock Core Bond Trust,United States,,2017-03-31,2.60184
4,EVG US,Eaton Vance Short Duration Div,United States,,2017-03-31,0.93006
5,PAI US,Western Asset Income Fund,United States,,2017-03-31,0.393826
6,PDT US,John Hancock Premium Dividend,United States,,2017-03-31,1.69284
7,PIM US,Putnam Master Intermediate Inc,United States,,2017-03-31,0.965353
8,ERC US,Wells Fargo Advantage Multi-Se,United States,,2017-03-31,2.17347
9,GGM US,Guggenheim Credit Allocation,United States,,2017-03-31,0.320844
10,FAX US,Aberdeen Asia-Pacific Income F,United States,,2017-03-31,5.18996
11,FFC US,Flaherty & Crumrine Preferred,United States,,2017-03-31,1.83737
12,FLC US,Flah & Crum Total Return Fd,United States,,2017-03-31,0.514554
13,PPT US,Putnam Premier Income Trust,United States,,2017-03-31,2.17147
14,MIN US,Mfs Intermediate Income Trust,United States,,2017-03-31,1.85829
15,HPI US,John Hancock Preferred Income,United States,,2017-03-31,1.56444
16,JPS US,Nuveen Quality Preferred Incom,United States,,2017-03-31,5.56669
17,VGI US,Virtus Global Multi-Sector,United States,,2017-03-31,0.651648
18,GBAB US,Guggenheim Build America Bonds,United States,,2017-03-31,1.12302
19,NBB US,Nuveen Build America Bond Fund,United States,,2017-03-31,1.58319
20,INSI US,Insight Select Income Fund,United States,,2017-03-31,0.755697
21,GDO US,Western Asset Gl Corp Def Op,United States,,2017-03-31,0.951636
22,BIT US,Blackrock Multi-Sector Incom,United States,,2017-03-31,2.65414
23,BBN US,Blackrock Build America Bond T,United States,,2017-03-31,3.62726
24,NBD US,Nuveen Bld Amer Bond Opp Fd,United States,,2017-03-31,0.548468
25,PSF US,Cohen & Steers Select Prefer,United States,,2017-03-31,0.773634
26,GIM US,Templeton Global Income Fund,United States,,2017-03-31,3.76973
27,HPF US,John Hancock Preferred Income,United States,,2017-03-31,1.11933
28,WEA US,Western Asset Premier Bond,United States,,2017-03-31,0.462586
29,JHI US,John Hancock Invest Trust,United States,,2017-03-31,0.543138
30,KMM US,Deutsche Multi-Market Income T,United States,,2017-03-31,0.69767
31,VBF US,Invesco Bond Fund,United States,,2017-03-31,0.772861
32,WIA US,Wa/Clay Us Infl-Lkd Sec&Inc,United States,,2017-03-31,1.38754
33,JGH US,Nuveen Global H-I Fd,United States,,2017-03-31,1.5609
34,JPC US,Nuveen Preferred Income Opport,United States,,2017-03-31,2.80717
35,DFP US,Flaherty & Crumrine Dynamic,United States,,2017-03-31,1.34051
36,WIW US,Wa/Clay Us Infl-Lkd Opp&Inc,United States,,2017-03-31,2.82225
