,date,discount_ratio,discount_value,full_discount_value,full_preminum_value,full_value,preminum_ratio,preminum_value,ratio,value
0,2006-01-06,-945.52287026,3.73193458709,0.0,0.0,0.0,-422.27633278,5.54027927504,-670.490191282,4.6364846875
1,2006-01-13,-987.047459051,1.02322708378,0.0,0.0,0.0,-302.297631158,1.66021096346,-534.270339025,1.64753116252
2,2006-01-20,-879.804455025,-0.123430485912,0.0,0.0,0.0,-224.061017818,-0.0618464434704,-479.929553349,-0.39324874426
3,2006-01-27,-891.698684011,0.705798682891,0.0,0.0,0.0,-173.005409738,1.31686902839,-597.517733966,0.193224807735
4,2006-02-03,-892.598197585,-0.261714745469,0.0,0.0,0.0,-73.5573559197,0.784357658229,-470.911892765,0.274786735992
5,2006-02-10,-1035.37250151,-2.58241422863,0.0,0.0,0.0,-169.81394195,-0.2949215457,-513.710302962,-0.131151339135
6,2006-02-17,-903.866689339,-0.191362370346,0.0,0.0,0.0,-144.452013625,1.4688397906,-523.108947703,0.299618706036
7,2006-02-24,-823.929279073,1.1052004407,0.0,0.0,0.0,-201.975556001,-0.0998524277078,-507.166479135,0.612899316377
8,2006-03-03,-712.22374638,1.42636193817,0.0,0.0,0.0,-41.2870557908,1.33255130632,-361.809109143,1.54618685196
9,2006-03-10,-898.193908194,-1.5396490437,0.0,0.0,0.0,-122.176228884,-0.384480129841,-369.790127685,-0.717576559427
10,2006-03-17,-1040.41184041,-0.0805010971794,0.0,0.0,0.0,-149.930242697,1.80910261548,-421.311579668,0.758500722135
11,2006-03-24,-1179.04827114,-1.06852445133,0.0,0.0,0.0,-127.939555218,-0.185045630336,-500.957256764,-1.80010052469
12,2006-03-31,-1342.36078058,1.35857635985,0.0,0.0,0.0,-19.1702088339,0.953599974443,-444.965360986,0.456407375426
13,2006-04-07,-842.727653047,0.130841536302,0.0,0.0,0.0,-102.299020514,-1.21237550823,-497.892466559,-0.272075564321
