,date,discount_ratio,discount_value,full_discount_value,full_preminum_value,full_value,preminum_ratio,preminum_value,ratio,value
0,2006-01-06,-1272.16967053,2.4267038572,0.0,0.0,0.0,-526.440584505,5.05070231255,-929.990879939,3.54328384761
1,2006-01-13,-1222.88979696,0.501045640486,0.0,0.0,0.0,-376.040805073,1.73713220404,-820.58280133,1.14549749731
2,2006-01-20,-1199.50532644,-0.160527664945,0.0,0.0,0.0,-383.989523022,-0.13764457371,-791.488335148,0.256240189538
3,2006-01-27,-1139.78652704,0.270908057271,0.0,0.0,0.0,-277.251075438,0.779787622357,-740.89817893,0.366814461303
4,2006-02-03,-1251.59142618,-1.03401389265,0.0,0.0,0.0,-334.877767286,-0.533207784617,-787.272807508,-0.305590902287
5,2006-02-10,-1187.11912194,0.0804509341625,0.0,0.0,0.0,-291.392298814,-0.045374811679,-750.882019546,0.13111355885
6,2006-02-17,-1241.18892676,-0.58393645823,0.0,0.0,0.0,-315.626576033,0.391335919698,-778.704951311,-0.260072215822
7,2006-02-24,-1164.6079389,0.78845585483,0.0,0.0,0.0,-272.165397171,0.757913526307,-735.955694154,0.565174662526
8,2006-03-03,-1212.82122581,-0.541723399085,0.0,0.0,0.0,-220.436464756,0.631298975105,-727.379306287,0.038508238026
9,2006-03-10,-1249.01238068,-2.28710172637,0.0,0.0,0.0,-319.802748925,-1.72321004703,-828.30160925,-1.92590773543
10,2006-03-17,-1234.40223041,0.693296181803,0.0,0.0,0.0,-320.694789082,0.567996607299,-791.753405313,0.767289194985
11,2006-03-24,-1176.56369401,0.248867082125,0.0,0.0,0.0,-136.741898878,0.441102759297,-688.804222229,0.645355588341
12,2006-03-31,-1279.25036802,-1.35532649305,0.0,0.0,0.0,-281.939225823,-1.68991706301,-795.121638924,-1.49440737323
13,2006-04-07,-1261.47521679,-0.473623043846,0.0,0.0,0.0,-173.642263233,-0.535482943254,-801.310390057,-0.248310002184
14,2006-04-14,-1200.43107532,-1.0448010009,0.0,0.0,0.0,-246.396148556,-2.76844721445,-788.739601318,-1.90067637351
15,2006-04-21,-1312.05412751,-0.246018190647,0.0,0.0,0.0,-428.175840014,-0.727722114154,-867.871084601,-0.476192144232
16,2006-04-28,-1266.34242849,0.333131492892,0.0,0.0,0.0,-356.52553824,1.07192677402,-830.255457356,0.684388569963
17,2006-05-05,-1274.41743424,0.0312820481998,0.0,0.0,0.0,-315.803159651,1.55768319185,-810.631460604,0.393958841147
18,2006-05-12,-1267.85920369,-0.562073901601,0.0,0.0,0.0,-343.704170795,-0.692601390172,-827.497579713,-0.662342945542
19,2006-05-19,-1287.569424,-0.0562632855657,0.0,0.0,0.0,-368.378129211,-0.0647982509525,-811.199525312,-0.0265771289994
20,2006-05-26,-1267.73189172,-0.144089941787,0.0,0.0,0.0,-398.891567974,-0.366538746467,-820.60897536,-0.105750411356
21,2006-06-02,-1260.88201904,0.425642920798,0.0,0.0,0.0,-325.072385698,1.3406207135,-761.331801793,1.04509654865
22,2006-06-09,-1260.00294963,-0.688558335609,0.0,0.0,0.0,-370.484815837,-1.03320234113,-795.017020081,-0.867559752733
23,2006-06-16,-1249.50298651,-0.586622323149,0.0,0.0,0.0,-294.464345835,-0.115682982965,-755.384279067,-0.37929052871
24,2006-06-23,-1208.38908139,-0.289092296619,0.0,0.0,0.0,-260.449723963,-0.0541894790845,-716.85238543,-0.211314142297
25,2006-06-30,-1284.53596191,-0.0868598542892,0.0,0.0,0.0,-318.855691464,0.0282678328112,-783.370537745,0.00763143238513
26,2006-07-07,-1262.61517934,0.384432115511,0.0,0.0,0.0,-209.196064868,1.48148524541,-743.392981711,0.854457967115
27,2006-07-14,-1266.2499116,-0.360868213026,0.0,0.0,0.0,-221.878410576,-0.501563326924,-746.553638046,-0.285018426951
28,2006-07-21,-1268.43716852,0.106926997236,0.0,0.0,0.0,-128.299131504,1.382961397,-709.159564466,0.659182421704
29,2006-07-28,-1246.44226009,0.760265672984,0.0,0.0,0.0,-44.4431634771,1.44403175456,-658.936641291,1.0396944045
30,2006-08-04,-1236.51226929,0.718316524715,0.0,0.0,0.0,-15.2194297133,0.822055130804,-636.520275394,0.766653544027
31,2006-08-11,-1173.21122976,0.272010186266,0.0,0.0,0.0,-68.4490760273,-1.26812097399,-647.865700161,-0.473582777073
32,2006-08-18,-1176.90898805,0.45043374022,0.0,0.0,0.0,-30.2082852971,1.18323936756,-606.688908435,0.861169637874
33,2006-08-25,-1170.51481508,0.114067642213,0.0,0.0,0.0,17.7284617332,0.269100485184,-592.497346153,0.213706098384
34,2006-09-01,-1169.45831271,0.351983209101,0.0,0.0,0.0,28.9939282146,1.01154687281,-586.772618362,0.490850930342
35,2006-09-08,-1176.79089173,-0.251515531963,0.0,0.0,0.0,-22.7446007225,-0.991578491238,-609.713991083,-0.555145711892
36,2006-09-15,-1163.16667845,-0.203873484126,0.0,0.0,0.0,50.5748981631,0.658933632308,-569.359740378,0.214326208804
37,2006-09-22,-1205.67756426,0.390092801741,0.0,0.0,0.0,95.8739716733,0.852966828129,-572.138728324,0.633682858492
38,2006-09-29,-1215.32900757,-0.0182731274118,0.0,0.0,0.0,49.6505809516,-0.192061771292,-594.63942382,-0.197648992098
39,2006-10-06,-1186.11762749,0.138401604265,0.0,0.0,0.0,19.621745399,-0.267316484062,-587.990170319,0.0112129247385
40,2006-10-13,-1187.64911405,-0.552210591375,0.0,0.0,0.0,42.568060385,-0.190701442759,-587.898364811,-0.431950945079
