date,date,date.1,symbol,date.1.1,open,high,low,close,volume,interest,Returns,Log Returns
1980-01-04,1980-01-04,1980-01-04,YMY00,1980-01-04,828.84,833.53,819.03,828.84,0.0,0.0,,
1980-01-07,1980-01-07,1980-01-07,YMY00,1980-01-07,832.0,839.84,824.73,832.0,0.0,0.0,0.00381255730901,0.00380530793233
1980-01-08,1980-01-08,1980-01-08,YMY00,1980-01-08,851.7,853.67,828.84,851.7,0.0,0.0,0.0236778846154,0.0234019113258
1980-01-09,1980-01-09,1980-01-09,YMY00,1980-01-09,850.09,865.7,846.77,850.09,0.0,0.0,-0.00189033697311,-0.00189212591487
1980-01-10,1980-01-10,1980-01-10,YMY00,1980-01-10,858.95,866.72,848.89,858.95,0.0,0.0,0.0104224258608,0.0103684868403
1980-01-11,1980-01-11,1980-01-11,YMY00,1980-01-11,858.53,868.17,848.89,858.53,0.0,0.0,-0.000488969090168,-0.000489088674538
1980-01-14,1980-01-14,1980-01-14,YMY00,1980-01-14,863.56,870.66,854.95,863.56,0.0,0.0,0.00585885175824,0.00584175543034
1980-01-15,1980-01-15,1980-01-15,YMY00,1980-01-15,868.59,873.81,855.89,868.59,0.0,0.0,0.00582472555468,0.00580782742701
1980-01-16,1980-01-16,1980-01-16,YMY00,1980-01-16,865.19,881.14,862.13,865.19,0.0,0.0,-0.00391438998837,-0.00392207126442
1980-01-17,1980-01-17,1980-01-17,YMY00,1980-01-17,863.56,872.95,857.0,863.56,0.0,0.0,-0.00188397924155,-0.00188575616258
1980-01-18,1980-01-18,1980-01-18,YMY00,1980-01-18,867.16,873.2,855.3,867.16,0.0,0.0,0.0041687896614,0.00416012433206
1980-01-21,1980-01-21,1980-01-21,YMY00,1980-01-21,872.78,880.03,863.66,872.78,0.0,0.0,0.00648092624199,0.0064600153389
1980-01-22,1980-01-22,1980-01-22,YMY00,1980-01-22,866.2,879.95,861.95,866.2,0.0,0.0,-0.00753912784436,-0.00756769071868
1980-01-23,1980-01-23,1980-01-23,YMY00,1980-01-23,877.56,883.02,859.39,877.56,0.0,0.0,0.0131147540984,0.0130295002903
1980-01-24,1980-01-24,1980-01-24,YMY00,1980-01-24,879.95,891.38,874.16,879.95,0.0,0.0,0.00272346050413,0.00271975860536
1980-01-25,1980-01-25,1980-01-25,YMY00,1980-01-25,876.11,882.25,869.03,876.11,0.0,0.0,-0.00436388431161,-0.00437343384692
1980-01-28,1980-01-28,1980-01-28,YMY00,1980-01-28,878.5,884.56,866.64,878.5,0.0,0.0,0.00272796794923,0.00272425379785
1980-01-29,1980-01-29,1980-01-29,YMY00,1980-01-29,874.41,885.67,864.59,874.41,0.0,0.0,-0.00465566306204,-0.00466653441668
1980-01-30,1980-01-30,1980-01-30,YMY00,1980-01-30,881.91,886.09,870.14,881.91,0.0,0.0,0.00857721206299,0.00854063677347
1980-01-31,1980-01-31,1980-01-31,YMY00,1980-01-31,875.84,897.88,873.05,875.84,0.0,0.0,-0.00688278849316,-0.00690658413163
1980-02-01,1980-02-01,1980-02-01,YMY00,1980-02-01,881.48,884.64,866.3,881.48,0.0,0.0,0.00643953233467,0.00641888712924
1980-02-04,1980-02-04,1980-02-04,YMY00,1980-02-04,875.09,887.38,870.48,875.09,0.0,0.0,-0.00724917184735,-0.00727557477052
1980-02-05,1980-02-05,1980-02-05,YMY00,1980-02-05,876.63,880.89,868.17,876.63,0.0,0.0,0.00175981899005,0.00175827232291
1980-02-06,1980-02-06,1980-02-06,YMY00,1980-02-06,881.83,888.05,867.92,881.83,0.0,0.0,0.00593180703375,0.0059142831312
1980-02-07,1980-02-07,1980-02-07,YMY00,1980-02-07,885.48,897.27,878.23,885.48,0.0,0.0,0.00413911978499,0.00413057719312
1980-02-08,1980-02-08,1980-02-08,YMY00,1980-02-08,895.73,901.11,879.86,895.73,0.0,0.0,0.0115756425893,0.0115091574191
1980-02-11,1980-02-11,1980-02-11,YMY00,1980-02-11,889.59,902.39,884.05,889.59,0.0,0.0,-0.00685474417514,-0.00687834585147
1980-02-12,1980-02-12,1980-02-12,YMY00,1980-02-12,898.98,901.38,880.97,898.98,0.0,0.0,0.010555424409,0.0105001048572
1980-02-13,1980-02-13,1980-02-13,YMY00,1980-02-13,903.84,918.17,896.59,903.84,0.0,0.0,0.00540612694387,0.00539156629384
1980-02-14,1980-02-14,1980-02-14,YMY00,1980-02-14,893.77,912.03,886.86,893.77,0.0,0.0,-0.0111413524518,-0.0112038821967
