date,symbol,date,open,high,low,close,volume,interest,Returns,Log Returns
2007-01-03,RBY00,2007-01-03,1.5489,1.5489,1.5489,1.5489,0.0,0.0,,
2007-01-04,RBY00,2007-01-04,1.4795,1.4795,1.4795,1.4795,0.0,0.0,-0.0448059913487,-0.0458408087134
2007-01-05,RBY00,2007-01-05,1.4681,1.4681,1.4681,1.4681,0.0,0.0,-0.00770530584657,-0.00773514509485
2007-01-08,RBY00,2007-01-08,1.436,1.436,1.436,1.436,0.0,0.0,-0.0218649955725,-0.0221075771372
2007-01-09,RBY00,2007-01-09,1.4521,1.4521,1.4521,1.4521,0.0,0.0,0.0112116991643,0.0111493139285
2007-01-10,RBY00,2007-01-10,1.403,1.403,1.403,1.403,0.0,0.0,-0.0338130982715,-0.0343979834342
2007-01-11,RBY00,2007-01-11,1.363,1.363,1.363,1.363,0.0,0.0,-0.0285103349964,-0.0289246484059
2007-01-12,RBY00,2007-01-12,1.402,1.402,1.402,1.402,0.0,0.0,0.028613352898,0.028211635898
2007-01-16,RBY00,2007-01-16,1.3368,1.3368,1.3368,1.3368,0.0,0.0,-0.0465049928673,-0.0476210903134
2007-01-17,RBY00,2007-01-17,1.3336,1.3336,1.3336,1.3336,0.0,0.0,-0.00239377618193,-0.0023966458446
2007-01-18,RBY00,2007-01-18,1.3078,1.3078,1.3078,1.3078,0.0,0.0,-0.0193461307738,-0.0195357163094
2007-01-19,RBY00,2007-01-19,1.348,1.348,1.348,1.348,0.0,0.0,0.0307386450528,0.0302756763451
2007-01-22,RBY00,2007-01-22,1.3304,1.3304,1.3304,1.3304,0.0,0.0,-0.013056379822,-0.0131423635935
2007-01-23,RBY00,2007-01-23,1.4048,1.4048,1.4048,1.4048,0.0,0.0,0.0559230306675,0.0544152950021
2007-01-24,RBY00,2007-01-24,1.4229,1.4229,1.4229,1.4229,0.0,0.0,0.0128843963554,0.0128020986708
2007-01-25,RBY00,2007-01-25,1.4016,1.4016,1.4016,1.4016,0.0,0.0,-0.0149694286317,-0.0150826013695
2007-01-26,RBY00,2007-01-26,1.4359,1.4359,1.4359,1.4359,0.0,0.0,0.0244720319635,0.0241773891182
2007-01-29,RBY00,2007-01-29,1.391,1.391,1.391,1.391,0.0,0.0,-0.0312695870186,-0.0317689173769
2007-01-30,RBY00,2007-01-30,1.4813,1.4813,1.4813,1.4813,0.0,0.0,0.064917325665,0.0628971676646
2007-01-31,RBY00,2007-01-31,1.4974,1.4974,1.4974,1.4974,0.0,0.0,0.0108688314319,0.0108101902086
2007-02-01,RBY00,2007-02-01,1.4753,1.4753,1.4753,1.4753,0.0,0.0,-0.0147589154535,-0.0148689118731
2007-02-02,RBY00,2007-02-02,1.5254,1.5254,1.5254,1.5254,0.0,0.0,0.0339591947401,0.0333953118066
2007-02-05,RBY00,2007-02-05,1.5162,1.5162,1.5162,1.5162,0.0,0.0,-0.00603120492985,-0.00604946610793
2007-02-06,RBY00,2007-02-06,1.535,1.535,1.535,1.535,0.0,0.0,0.0123994196016,0.0123231763991
2007-02-07,RBY00,2007-02-07,1.5165,1.5165,1.5165,1.5165,0.0,0.0,-0.0120521172638,-0.0121253328927
2007-02-08,RBY00,2007-02-08,1.5658,1.5658,1.5658,1.5658,0.0,0.0,0.0325090669304,0.0319918273452
2007-02-09,RBY00,2007-02-09,1.5898,1.5898,1.5898,1.5898,0.0,0.0,0.0153276280496,0.0152113466652
2007-02-12,RBY00,2007-02-12,1.529,1.529,1.529,1.529,0.0,0.0,-0.0382438042521,-0.03899429521
2007-02-13,RBY00,2007-02-13,1.6091,1.6091,1.6091,1.6091,0.0,0.0,0.0523871811642,0.051061089536
2007-02-14,RBY00,2007-02-14,1.6187,1.6187,1.6187,1.6187,0.0,0.0,0.00596606798832,0.00594834147481
2007-02-15,RBY00,2007-02-15,1.6035,1.6035,1.6035,1.6035,0.0,0.0,-0.00939025143634,-0.00943461780671
