,contractSymbol,dailyDate1dAgo,dailyHighPrice,dailyLastPrice,dailyLowPrice,dailyOpenInterest,dailyOpenPrice,dailyPreviousPrice,dailyPriceChange,dailyVolume,expiredDate,hasOptions,implied_roll_yeild,main_volume,preminum,root,symbol,symbolCode,symbolType,year_num
DXY00 (Cash),DXY00 (Cash),2017-07-06,96.344,95.802,95.785,0.0,96.241,96.29,-0.488,0,2017-07-06,True,,False,,DX,DXY00,FUT,2,
DXU17 (Sep '17),DXU17 (Sep '17),2017-07-06,96.11,95.575,95.56,47070.0,96.005,96.059,-0.484,14274,2017-09-16,True,,True,0.0,DX,DXU17,FUT,2,0.0027397260274
DXZ17 (Dec '17),DXZ17 (Dec '17),2017-07-06,95.885,95.365,95.35,1412.0,95.83,95.849,-0.484,57,2017-12-16,True,0.0006,False,1.00220206575,DX,DXZ17,FUT,2,0.290410958904
DXH18 (Mar '18),DXH18 (Mar '18),2017-07-06,95.34,95.145,95.145,323.0,95.34,95.639,-0.494,10,2018-03-16,True,0.0024,False,1.00451941773,DX,DXH18,FUT,2,0.53698630137
B6Y00 (Cash),B6Y00 (Cash),2017-07-06,1.2983,1.2969,1.2897,0.0,1.2933,1.2931,0.0038,0,2017-07-06,True,,False,,B6,B6Y00,FUT,2,
B6N17 (Jul '17),B6N17 (Jul '17),2017-07-06,1.2986,1.2976,1.2929,1311.0,1.2951,1.2937,0.0039,129,2017-07-16,True,,False,,B6,B6N17,FUT,2,
B6Q17 (Aug '17),B6Q17 (Aug '17),2017-07-06,1.2997,1.2988,1.294,449.0,1.2951,1.2949,0.0039,102,2017-08-16,True,,False,,B6,B6Q17,FUT,2,
B6U17 (Sep '17),B6U17 (Sep '17),2017-07-06,1.3013,1.3001,1.2949,194387.0,1.2966,1.2962,0.0039,89758,2017-09-16,True,,True,0.0,B6,B6U17,FUT,2,0.0027397260274
B6V17 (Oct '17),B6V17 (Oct '17),2017-07-06,1.3013,1.3013,1.3013,0.0,0.0,1.2974,0.0039,0,2017-10-16,True,-0.0001,False,0.999077845232,B6,B6V17,FUT,2,0.123287671233
B6Z17 (Dec '17),B6Z17 (Dec '17),2017-07-06,1.3045,1.3036,1.2984,1362.0,1.2993,1.2997,0.0039,436,2017-12-16,True,-0.0008,False,0.99731512734,B6,B6Z17,FUT,2,0.290410958904
B6H18 (Mar '18),B6H18 (Mar '18),2017-07-06,1.3081,1.3075,1.3023,287.0,0.0,1.3035,0.004,0,2018-03-16,True,-0.003,False,0.994340344168,B6,B6H18,FUT,2,0.53698630137
B6M18 (Jun '18),B6M18 (Jun '18),2017-07-06,1.3112,1.3112,1.3067,37.0,0.0,1.3072,0.004,0,2018-06-16,True,-0.0067,False,0.991534472239,B6,B6M18,FUT,2,0.78904109589
B6U18 (Sep '18),B6U18 (Sep '18),2017-07-06,1.315,1.315,1.3109,7.0,0.0,1.3112,0.0038,0,2018-09-16,True,-0.0118,False,0.988669201521,B6,B6U18,FUT,2,1.04109589041
B6Z18 (Dec '18),B6Z18 (Dec '18),2017-07-06,1.3189,1.3189,1.3189,9.0,0.0,1.3152,0.0037,0,2018-12-16,True,-0.0184,False,0.985745697172,B6,B6Z18,FUT,2,1.2904109589
B6H19 (Mar '19),B6H19 (Mar '19),2017-07-06,1.3227,1.3227,1.3227,0.0,0.0,1.3193,0.0034,0,2019-03-16,True,-0.0261,False,0.982913737053,B6,B6H19,FUT,2,1.53698630137
B6M19 (Jun '19),B6M19 (Jun '19),2017-07-06,1.3266,1.3266,1.3266,0.0,0.0,1.3233,0.0033,0,2019-06-16,True,-0.0355,False,0.980024121815,B6,B6M19,FUT,2,1.78904109589
B6U19 (Sep '19),B6U19 (Sep '19),2017-07-06,1.3305,1.3305,1.3305,0.0,0.0,1.3274,0.0031,0,2019-09-16,True,-0.0461,False,0.977151446825,B6,B6U19,FUT,2,2.04109589041
B6Z19 (Dec '19),B6Z19 (Dec '19),2017-07-06,1.3344,1.3344,1.3344,0.0,0.0,1.3315,0.0029,0,2019-12-16,True,-0.0579,False,0.974295563549,B6,B6Z19,FUT,2,2.2904109589
B6H20 (Mar '20),B6H20 (Mar '20),2017-07-06,1.3383,1.3383,1.3383,0.0,0.0,1.3355,0.0028,0,2020-03-16,True,-0.0709,False,0.971456325189,B6,B6H20,FUT,2,2.5397260274
B6M20 (Jun '20),B6M20 (Jun '20),2017-07-06,1.3423,1.3423,1.3423,0.0,0.0,1.3396,0.0027,0,2020-06-16,True,-0.0853,False,0.968561424421,B6,B6M20,FUT,2,2.79178082192
B6U20 (Sep '20),B6U20 (Sep '20),2017-07-06,1.3462,1.3462,1.3462,0.0,0.0,1.3436,0.0026,0,2020-09-16,True,-0.1006,False,0.965755459813,B6,B6U20,FUT,2,3.04383561644
B6Z20 (Dec '20),B6Z20 (Dec '20),2017-07-06,1.3501,1.3501,1.3501,0.0,0.0,1.3477,0.0024,0,2020-12-16,True,-0.1169,False,0.962965706244,B6,B6Z20,FUT,2,3.29315068493
B6H21 (Mar '21),B6H21 (Mar '21),2017-07-06,1.3541,1.3541,1.3541,0.0,0.0,1.3518,0.0023,0,2021-03-16,True,-0.1342,False,0.960121113655,B6,B6H21,FUT,2,3.5397260274
B6M21 (Jun '21),B6M21 (Jun '21),2017-07-06,1.358,1.358,1.358,0.0,0.0,1.3558,0.0022,0,2021-06-16,True,-0.1523,False,0.95736377025,B6,B6M21,FUT,2,3.79178082192
B6U21 (Sep '21),B6U21 (Sep '21),2017-07-06,1.3619,1.3619,1.3619,0.0,0.0,1.3599,0.002,0,2021-09-16,True,-0.1712,False,0.954622218959,B6,B6U21,FUT,2,4.04383561644
B6Z21 (Dec '21),B6Z21 (Dec '21),2017-07-06,1.3659,1.3659,1.3659,0.0,0.0,1.364,0.0019,0,2021-12-16,True,-0.191,False,0.951826634453,B6,B6Z21,FUT,2,4.29315068493
B6H22 (Mar '22),B6H22 (Mar '22),2017-07-06,1.3698,1.3698,1.3698,0.0,0.0,1.368,0.0018,0,2022-03-16,True,-0.2111,False,0.949116659366,B6,B6H22,FUT,2,4.5397260274
B6M22 (Jun '22),B6M22 (Jun '22),2017-07-06,1.3737,1.3737,1.3737,0.0,0.0,1.3721,0.0016,0,2022-06-16,True,-0.2319,False,0.946422071777,B6,B6M22,FUT,2,4.79178082192
D6Y00 (Cash),D6Y00 (Cash),2017-07-06,0.77365,0.77049,0.77014,0.0,0.77173,0.77174,-0.00125,0,2017-07-06,True,,False,,D6,D6Y00,FUT,2,
D6N17 (Jul '17),D6N17 (Jul '17),2017-07-06,0.77385,0.77175,0.7707,387.0,0.771,0.77105,0.0007,56,2017-07-16,True,,False,,D6,D6N17,FUT,2,
D6Q17 (Aug '17),D6Q17 (Aug '17),2017-07-06,0.7742,0.77205,0.77105,199.0,0.7718,0.77135,0.0007,170,2017-08-16,True,,False,,D6,D6Q17,FUT,2,
D6U17 (Sep '17),D6U17 (Sep '17),2017-07-06,0.7747,0.77245,0.7711,145407.0,0.7725,0.77175,0.0007,62118,2017-09-16,True,,True,0.0,D6,D6U17,FUT,2,0.0027397260274
D6V17 (Oct '17),D6V17 (Oct '17),2017-07-06,0.7727,0.7727,0.7727,0.0,0.0,0.772,0.0007,0,2017-10-16,True,0.0,False,0.999676459169,D6,D6V17,FUT,2,0.123287671233
D6Z17 (Dec '17),D6Z17 (Dec '17),2017-07-06,0.7753,0.77315,0.77185,4532.0,0.7732,0.7725,0.00065,95,2017-12-16,True,-0.0003,False,0.999094612947,D6,D6Z17,FUT,2,0.290410958904
D6H18 (Mar '18),D6H18 (Mar '18),2017-07-06,0.7755,0.7738,0.7728,500.0,0.0,0.7731,0.0007,0,2018-03-16,True,-0.0009,False,0.998255363143,D6,D6H18,FUT,2,0.53698630137
D6M18 (Jun '18),D6M18 (Jun '18),2017-07-06,0.776,0.77435,0.7736,72.0,0.7757,0.7737,0.00065,3,2018-06-16,True,-0.0019,False,0.997546329179,D6,D6M18,FUT,2,0.78904109589
