date,symbol,date,open,high,low,close,volume,interest,Returns,Log Returns
1975-12-02,SBY00,1975-12-02,12.35,12.35,12.35,12.35,0.0,0.0,,
1975-12-03,SBY00,1975-12-03,12.25,12.25,12.25,12.25,0.0,0.0,-0.0080971659919,-0.00813012608325
1975-12-04,SBY00,1975-12-04,12.45,12.45,12.45,12.45,0.0,0.0,0.0163265306122,0.01619468592
1975-12-05,SBY00,1975-12-05,12.45,12.45,12.45,12.45,0.0,0.0,0.0,0.0
1975-12-08,SBY00,1975-12-08,12.37,12.37,12.37,12.37,0.0,0.0,-0.00642570281124,-0.00644643650632
1975-12-09,SBY00,1975-12-09,12.55,12.55,12.55,12.55,0.0,0.0,0.0145513338723,0.0144464791734
1975-12-10,SBY00,1975-12-10,12.7,12.7,12.7,12.7,0.0,0.0,0.0119521912351,0.0118813278868
1975-12-11,SBY00,1975-12-11,13.35,13.35,13.35,13.35,0.0,0.0,0.0511811023622,0.0499143913817
1975-12-12,SBY00,1975-12-12,13.75,13.75,13.75,13.75,0.0,0.0,0.0299625468165,0.0295224392663
1975-12-15,SBY00,1975-12-15,13.9,13.9,13.9,13.9,0.0,0.0,0.0109090909091,0.0108500160241
1975-12-16,SBY00,1975-12-16,14.15,14.15,14.15,14.15,0.0,0.0,0.0179856115108,0.0178257839526
1975-12-17,SBY00,1975-12-17,13.75,13.75,13.75,13.75,0.0,0.0,-0.0282685512367,-0.0286757999767
1975-12-18,SBY00,1975-12-18,13.8,13.8,13.8,13.8,0.0,0.0,0.00363636363636,0.00362976805058
1975-12-19,SBY00,1975-12-19,13.8,13.8,13.8,13.8,0.0,0.0,0.0,0.0
1975-12-22,SBY00,1975-12-22,14.05,14.05,14.05,14.05,0.0,0.0,0.018115942029,0.0179538036166
1975-12-23,SBY00,1975-12-23,13.75,13.75,13.75,13.75,0.0,0.0,-0.0213523131673,-0.0215835716672
1975-12-24,SBY00,1975-12-24,13.6,13.6,13.6,13.6,0.0,0.0,-0.0109090909091,-0.0109690313706
1975-12-29,SBY00,1975-12-29,13.45,13.45,13.45,13.45,0.0,0.0,-0.0110294117647,-0.0110906866942
1975-12-30,SBY00,1975-12-30,13.75,13.75,13.75,13.75,0.0,0.0,0.0223048327138,0.0220597180647
