date,GF Returns,HE Returns,MGC Returns,LE Returns,G Returns,BC Returns,C Returns,HO Returns,SB Returns,KC Returns,CT Returns,NC Returns,BO Returns,CL Returns,ZS Returns,ZW Returns,HN Returns,SI Returns,Portfolio Returns
2011-01-27,,-0.0064858490566,-0.0110357169488,0.000641985876311,0.00858369098712,-0.00293018086289,0.00385769395628,-0.00973444726242,0.0341286620356,-0.00273109243697,0.0175675675676,0.0167565033982,0.0125220458554,-0.00124843945069,0.0101046553591,-0.00748959778086,-0.0276230786367,-0.00357564140372,
2011-01-28,-0.00157232704403,-0.000593471810089,0.0164367036116,0.00213857998289,0.00851063829787,0.0184434535874,-0.000426985482494,0.016534217167,-0.00905373831776,0.0358120918475,-0.00593182824259,0.00795205716261,-0.00243859954712,0.0222916666667,-0.0010718113612,-0.0220793739519,-0.0103092783505,0.0328511708779,0.000528723709943
2011-01-31,0.0,-0.0130641330166,-0.00541502855871,0.00874946649595,0.0132610006028,0.0132338308458,0.00854335753951,0.0119303445721,-0.00235779546124,-0.00223713646532,0.0187923049519,0.0195517951063,0.0106513008556,0.0119217444467,0.0107296137339,0.0168619605602,0.0266203703704,0.00895447544683,0.00805040577936
2011-02-01,0.0,0.0673886883273,0.00417661097852,0.002750158663,0.01249256395,0.00775802808603,0.011859381618,0.0101786760398,0.00295420974889,0.0126375866286,0.0189701897019,0.0198497252439,0.0124395300622,0.00664585640922,0.0176928520878,-0.00393479482856,-0.0211950394588,0.0122475061238,0.0113677866613
2011-02-02,0.0,0.0,-0.00616458704694,-0.00253164556962,0.0141010575793,0.0106217111674,,0.00362450163103,0.039175257732,0.00805152979066,0.0175017158545,-0.00065977567627,0.010409556314,0.00790237071121,0.00417246175243,0.0324492099323,0.0225754434462,-0.00789086062987,
2011-02-03,0.0,0.00563697857948,0.0155444286675,0.0,0.00405561993048,-0.00337479510173,,-0.0018779342723,-0.0895691609977,0.00579073482428,-0.0225126475548,0.000110035211268,-0.00709339638575,-0.00218340611354,-0.0058864265928,-0.00300628587046,-0.0186979049335,0.0155183993779,
2011-02-04,0.0,0.0,-0.00279637942453,-0.00571065989848,-0.0201961915753,-0.0167376160991,,-0.0158477458572,0.0267745952677,-0.0111177288068,-0.024756318468,0.00770161733964,0.00340193910529,-0.00875273522976,-0.00139324277255,-0.00411184210526,-0.0105601469238,0.0115218602061,
2011-02-07,0.0,0.00336322869955,-0.000516567043022,-0.000638162093172,0.00235571260306,-9.83961428711e-05,,-0.00463235294118,-0.0121285627653,0.00220839188918,0.050327259862,-0.000982640026204,-0.00983217494491,-0.00551876379691,-0.00627833972794,0.0093586567575,-0.0359628770302,0.00977322000069,
2011-02-08,0.0,0.0,0.0118133490845,-0.00595998297148,0.00440658049354,0.00629797283999,,0.00901233655906,-0.0460405156538,-0.00620993589744,0.0165894736842,-0.000218579234973,0.0070193460024,0.00625567551206,0.00684450684451,0.0171802563403,-0.0204572803851,0.0316259414511,
2011-02-09,0.0,0.00893854748603,0.00102159953298,0.00813704496788,0.00380228136882,0.0132016428711,0.0175805776476,0.0136173951241,0.0225225225225,0.0207619431566,0.0354539430086,-0.010931351115,0.0137708262496,0.00451218289381,0.0116785776538,0.0134048257373,0.000737100737101,0.000165174589541,0.0105230513161
